COUNAME,admin,Cigarettes consumptions,Population exposed to PM2.5 air pollution,Diabetes prevalence,Access to improved water source,Life expentancy at birth
SWZ,Swaziland,0.57,74.38826669,4.33,68.9,48.93792683
LSO,Lesotho,0.07,82.38501154,4.5,76.8,49.33146341
CAF,Central African Republic,0.11,99.87782561,7.34,54.4,49.87987805
SLE,Sierra Leone,0.45,99.99,3.76,45.6,50.36312195
TCD,Chad,0.64,99.99,5.77,44.8,51.1914878
AGO,Angola,0.25,90.28603723,2.61,28.2,51.86617073
NGA,Nigeria,0.01,99.65916445,5.27,54.7,52.44214634
MOZ,Mozambique,0.14,13.30379733,2.82,37,54.6415122
GNB,Guinea-Bissau,0.05,99.99,3.79,58,54.83841463
SOM,Somalia,0.87,28.83233141,7.29,Nodata,55.02302439
CMR,Cameroon,0.8,95.84066744,5.92,52.7,55.04180488
SDS,South Sudan,0.04,99.6538834,10.08,56.9,55.22090244
ZWE,Zimbabwe,0.01,27.1973398,9.34,67.6,55.633
BDI,Burundi,0.44,99.75636902,4.83,73.5,56.25160976
ZAF,South Africa,0.27,68.75542047,9.36,80,56.73658537
GNQ,Equatorial Guinea,0.08,58.59892343,6.13,31.5,57.29082927
MLI,Mali,0.87,99.99,1.6,60.5,57.53519512
UGA,Uganda,1.28,99.45074872,5.19,74.2,57.76768293
SAH,Sub-Saharan Africa (all income levels),0.01,82.1616667,6.274119967,54.09816149,58.0773024
GIN,Guinea,0.12,99.93133237,4.37,66.2,58.2164878
BFA,Burkina Faso,0.07,99.99,3.72,75.8,58.24063415
COD,"Congo, Dem. Rep.",0.95,97.32172353,7.56,30.6,58.27192683
TGO,Togo,0.06,99.99,4.72,43.5,59.13236585
ZMB,Zambia,0.09,71.74383144,5.04,49.1,59.23736585
BEN,Benin,0.11,99.99,1.54,71.2,59.31202439
GMB,"Gambia, The",0.95,99.99,1.96,84.4,59.99926829
AFG,Afghanistan,0.06,99.19824711,8.07,45.4,60.02826829
LBR,Liberia,0.92,95.07688476,3.79,61.1,60.52039024
NER,Niger,0.12,99.99,4.18,47.8,60.82814634
KEN,Kenya,0.02,59.7556111,4.54,55.8,60.95378049
GHA,Ghana,1.44,99.94200838,3.8,80.4,61.14207317
MWI,Malawi,0.4,18.61254985,5.59,84.9,61.466
COG,"Congo, Rep.",0.01,81.16638403,5.91,39.4,61.66639024
DJI,Djibouti,0.01,99.99,6.36,64.7,61.68646341
HTI,Haiti,0.34,92.78261286,6.7,47.7,62.40114634
PNG,Papua New Guinea,0.12,3.844644589,6.33,32.8,62.44917073
MRT,Mauritania,0.18,99.99,5.22,57.1,62.80270732
SDN,Sudan,0.05,99.99,17.91,50.2,63.16704878
ERI,Eritrea,1.22,99.99,5.73,53.3,63.17787805
RWA,Rwanda,0.37,98.20892882,6.25,70.7,63.39482927
ETH,Ethiopia,0.01,95.92155747,5.47,44.7,63.44219512
YEM,"Yemen, Rep.",0.11,99.99,8.25,Nodata,63.5835122
GAB,Gabon,0.11,63.73119422,10.71,64.8,63.84358537
TZA,Tanzania,0.75,29.46354368,9.15,45.5,64.29182927
NAM,Namibia,0.01,15.2818436,6.86,82.6,64.34387805
BWA,Botswana,0.34,45.43897088,3.9,92.3,64.36080488
MDG,Madagascar,0.06,0.169109994,3.73,33.8,64.67390244
TKM,Turkmenistan,0.01,99.99,5.01,Nodata,65.45656098
MMR,Myanmar,0.51,99.80494845,6.14,74.4,65.65409756
LAO,Lao PDR,0.72,99.82593652,5.03,67.1,65.6872439
